Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
A & A FASHION HOUSE LIMITED ,,"93,000.00",4
,,,
A & A OPTICAL ,,"24,000.00",1
,,,
A & B HAIR BEAUTY SALON ,,"28,500.00",2
,,,
A & B LOGISTICS LIMITED ,,"10,500.00",1
,,,
A & J SOLUTIONS LTD ,博客豪顧問有限公司 ,"27,000.00",1
,,,
A & M TRAVEL & TOURS LIMITED ,安逸旅遊有限公司 ,"54,000.00",2
,,,
A & P LOGISTICS LTD ,偉記物流運輸有限公司 ,"196,101.00",7
,,,
A & R CORPORATE SECRETARIES LIMITED ,安羅公司秘書有限公司 ,"135,000.00",5
,,,
A & V PRODUCTION COMPANY LIMITED ,,"81,000.00",3
,,,
A & W CONSULTANT CO. ,A & W 顧問公司 ,"22,500.00",2
,,,
A & Z HONG KONG LIMITED ,,"18,000.00",1
,,,
A A PROPERTY SERVICES LIMITED ,環亞物業顧問有限公司 ,"270,000.00",9
,,,
A B CONCEPT ,炫美創意 ,"12,000.00",1
,,,
A BEAUTY COMPANY LIMITED ,,"27,000.00",1
,,,
A BIG COMPANY LIMITED ,,"108,000.00",4
,,,
A BLESSED WAY (HK) LTD. ,,"530,253.00",25
,,,
A BOUTIQUE LIMITED ,,"39,000.00",2
,,,
''A BRILLIANT WAY'' INTERNATIONAL LIMITED ,閃耀國際有限公司 ,"634,947.00",27
,,,
A C CITY LIMITED ,冷氣城器材有限公司 ,"47,250.00",2
,,,
A CONCEPT ART CONSULTANCY LIMITED ,奕思藝術顧問有限公司 ,"21,030.00",1
,,,
A CONCEPT GROUP LIMITED ,吳家班投資有限公司 ,"78,000.00",3
,,,
A DIAM LIMITED ,,"127,500.00",5
,,,
A DIAMOND ,,"27,000.00",1
,,,
A DROP OF LIFE LIMITED ,點滴是生命有限公司 ,"233,850.00",9
,,,
A FASHION COMPANY LIMITED ,銳信時裝有限公司 ,"378,000.00",12
,,,
A FOR ALAYO LIMITED ,亞利奧有限公司 ,"72,750.00",3
,,,
A FORMULA LIMITED ,醇萃有限公司 ,"23,850.00",2
,,,
A GALLERY LIMITED ,,"10,869.00",1
,,,
A GO GO PROMOTIONS ,,"182,745.00",7
,,,
A GOOD COMPANY LIMITED ,壹間好公司有限公司 ,"54,000.00",2
,,,
A GRACE ENTERPRISES LIMITED ,美悅企業有限公司 ,"27,000.00",1
,,,
A J COMPANY LIMITED ,藝卓有限公司 ,"189,000.00",7
,,,
A K INDUSTRIAL COMPANY LIMITED ,雅基實業有限公司 ,"289,875.00",11
,,,
A LEVEL RESOURCES LIMITED ,匯豪資源有限公司 ,"149,400.00",6
,,,
A LIFESTYLE ,,"27,000.00",1
,,,
A LIST RACING LIMITED ,一一一有限公司 ,"54,000.00",2
,,,
A LITTLE SOMETHINK CO. LTD. ,,"27,000.00",3
,,,
A LOCAL COMPANY LIMITED ,一間本地有限公司 ,"1,950.00",2
,,,
A MATCH PRODUCTION LIMITED ,,"513,471.00",19
,,,
A MINOR PRODUCTION LIMITED ,一點製作有限公司 ,"42,900.00",5
,,,
A ONE BENZ LIMITED ,,"22,500.00",2
,,,
A OPAL LIMITED ,港暉商務有限公司 ,"44,250.00",3
,,,
A PERFORMER LIMITED ,,"42,000.00",2
,,,
A PLUS A TRADING LIMITED ,優材貿易有限公司 ,"27,000.00",1
,,,
A PLUS MONGKOK LIMITED ,,"81,000.00",3
,,,
A PLUS SERVICES INTERNATIONAL LIMITED ,柏翹國際有限公司 ,"27,000.00",1
,,,
A PRIMO LIMITED ,壹號有限公司 ,"81,000.00",3
,,,
A PROMISE TRADING LIMITED ,一諾貿易有限公司 ,"15,000.00",1
,,,
A QUARTER TO NINE LTD. ,,"27,000.00",1
,,,
A REALLY GOOD FILM COMPANY LIMITED ,真好電影有限公司 ,"54,000.00",2
,,,
